Message,Code,Lines,Complexity
"gah, debugging left in the last commit actually broke some stuff."," long mkcall(int childno)
 sptr += sprintf(sptr, ""%ld"", REG);\
 break;\
 case ARG_UNDEFINED:\
-BUG(""Undefined!\n"")\
-break;\
 case ARG_LEN:\
 case ARG_ADDRESS:\
 case ARG_ADDRESS2:\
",180,24
move parentpid into shm," retry:
 if (pid == shm->pids[i])
 goto retry;
 }
-if (pid == parentpid)
+if (pid == shm->parentpid)
 goto retry;
 
 if (pid == shm->watchdog_pid)
",449,155
add missing cases for generic sanitise," static unsigned long fill_arg(int childno, int call, int argnum)
 }
 
 switch (argtype) {
+case ARG_UNDEFINED:
+case ARG_RANDOM_INT:
+return (unsigned long)rand();
+
 case ARG_FD:
 return get_fd();
 case ARG_LEN:
",452,157
"process signals from all children, not just the first one to wake up.

I think the problem with the zombies sticking around too long was due
to them being starved for attention in this function.

If one pidslot kept exiting/forking, all the others weren't getting
processed even though they were waiting for the parent to acknowledge
they were about to exit."," static void handle_children()
 
 default:
 debugf(""[%d] Something happened to pid %d\n"", getpid(), childpid);
-
+again:
 if (WIFEXITED(childstatus)) {
 
 slot = find_pid_slot(childpid);
 static void handle_children()
 output(""erk, wtf\n"");
 }
 }
+
+/* anything else to process ? */
+sleep(1);/* Give other children a chance to do something. */
+childpid = waitpid(-1, &childstatus, WUNTRACED | WCONTINUED | WNOHANG);
+if (childpid == 0)
+return;
+if (childpid == -1)
+return;
+
+goto again;
+
 }
 
 void main_loop()
",218,48
"handle signals when ptrace'd properly

we don't need to send a CONT if the signal was a segfault or whatever."," again:
 break;
 
 } else if (WIFSTOPPED(childstatus)) {
-debugf(""[%d] Child was stopped by %d."", getpid(), WSTOPSIG(childstatus));
-debugf(""[%d] Sending PTRACE_CONT (and then KILL)\n"", getpid());
-ptrace(PTRACE_CONT, childpid, NULL, NULL);
+debugf(""[%d] Child was stopped (%s).\n"", getpid(), strsignal(WSTOPSIG(childstatus)));
+if (WSTOPSIG(childstatus) == SIGSTOP) {
+debugf(""[%d] Sending PTRACE_CONT (and then KILL)\n"", getpid());
+ptrace(PTRACE_CONT, childpid, NULL, NULL);
+}
 kill(childpid, SIGKILL);
 reap_child(childpid);
 } else if (WIFCONTINUED(childstatus)) {
",220,49
"sleep when this ""shouldn't happen"" case happens.

A recent change seems to have started to occasionally trigger this."," void output(const char *fmt, ...)
 if (!handle) {
 printf(""## child logfile handle was null logging to main!\n"");
 handle = parentlogfile;
+sleep(5);
 return;
 }
 
",132,27
mention the pid of the child that was stopped," again:
 break;
 
 } else if (WIFSTOPPED(childstatus)) {
-debugf(""[%d] Child was stopped (%s).\n"", getpid(), strsignal(WSTOPSIG(childstatus)));
+debugf(""[%d] Child %d was stopped (%s).\n"", getpid(), childpid, strsignal(WSTOPSIG(childstatus)));
 if (WSTOPSIG(childstatus) == SIGSTOP) {
 debugf(""[%d] Sending PTRACE_CONT (and then KILL)\n"", getpid());
 ptrace(PTRACE_CONT, childpid, NULL, NULL);
",220,49
"update the parentpid after forking.

Since 01d0d494eb6777119a1a87983bf8eb580a591cd3, parentpid changes,
so we need to take that into consideration both before and after
the child handler."," void main_loop()
 pid = fork();
 if (pid != 0) {
 pid = waitpid(pid, &childstatus, WUNTRACED | WCONTINUED);
-_exit(EXIT_SUCCESS);
+shm->parentpid = getpid(); /* reset */
+return;
 }
 
+shm->parentpid = getpid();
+
 prctl(PR_SET_NAME, (unsigned long) &taskname);
 
 while (shm->watchdog_pid == 0)
",222,49
handle the case where ptrace succeeds explicitly," static void check_children(void)
 break;
 
 default:
-output(""tried to kill pid %d, but %s. Trying again.\n"", pid, strerror(errno));
+output(""(ret=%d) tried to attach to pid %d, but %s (%d). Trying again.\n"", ret, pid, strerror(errno), errno);
 // fallthrough
 ;;
 
 case -EBUSY:
+case 0:
 ptrace(PTRACE_CONT, pid, NULL, NULL);
 kill(pid, SIGKILL);
 break;
",129,31
"Try the 'jump back to the child handler when the alarm goes off' thing again.

A number of things have changed dramatically since I disabled this,
so things may be good enough to reenable this feature, which
should speed things up a little."," int child_process(void)
 {
 cpu_set_t set;
 pid_t pid = getpid();
-int ret = 0;
+int ret;
 unsigned int syscallnr;
 unsigned int cpu;
 unsigned int childno = find_pid_slot(pid);
 int child_process(void)
 if (extrafork == FALSE)
 init_child();
 
+sigsetjmp(ret_jump, 1);
+
+ret = 0;
+
 while (shm->exit_now == FALSE) {
 
 while (shm->regenerating == TRUE)
",146,36
handle (and ignore) sigalarm in child processing.," again:
 break;
 
 } else if (WIFSTOPPED(childstatus)) {
-debugf(""[%d] Child %d was stopped (%s).\n"", getpid(), childpid, strsignal(WSTOPSIG(childstatus)));
-if (WSTOPSIG(childstatus) == SIGSTOP) {
+switch (WSTOPSIG(childstatus)) {
+case SIGALRM:
+break;
+default:
+debugf(""[%d] Child %d was stopped (%s).\n"", getpid(), childpid, strsignal(WSTOPSIG(childstatus)));
+;; // fallthrough
+case SIGSTOP:
 debugf(""[%d] Sending PTRACE_CONT (and then KILL)\n"", getpid());
 ptrace(PTRACE_CONT, childpid, NULL, NULL);
+kill(childpid, SIGKILL);
+reap_child(childpid);
 }
-kill(childpid, SIGKILL);
-reap_child(childpid);
+break;
+
 } else if (WIFCONTINUED(childstatus)) {
 break;
 } else {
",228,50
"use PTRACE_DETACH, not PTRACE_CONT

Otherwise we may end up reparenting the child"," static unsigned long do_syscall(int childno)
 }
 if (WIFSTOPPED(childstatus)) {
 output(""[%d] Child process %d stopped. killing.\n"", getpid(), childpid);
-ptrace(PTRACE_CONT, childpid, NULL, NULL);
+ptrace(PTRACE_DETACH, childpid, NULL, NULL);
 kill(childpid, SIGKILL);
 break;
 }
",179,24
"avoid ptrace for now.

This is going to need some more thought.
There are a number of awkward cases where we end up with zombies.
One example:

child a ptraces child b
child a segfaults
child b waits forever for a PTRACE_DETACH/CONT

attempting a PTRACE_DETACH from the watchdog gets -ESRCH, because
it wasn't the pid that initiated the tracing."," struct syscall syscall_ptrace = {
 .arg3type = ARG_ADDRESS,
 .arg4name = ""data"",
 .sanitise = sanitise_ptrace,
+
+.flags = AVOID_SYSCALL,
 };
",33,1
"ignore ctrl-z for now.

sometimes, a tmux attach will send this for some reason, and trinity shits itself."," static void mask_signals(void)
 (void)signal(SIGCHLD, SIG_DFL);
 (void)signal(SIGFPE, SIG_IGN);
 (void)signal(SIGXCPU, SIG_IGN);
+(void)signal(SIGTSTP, SIG_IGN);
 if (debug == TRUE)
 (void)signal(SIGSEGV, SIG_DFL);
 }
",241,44
reinstate the ctrl-c handler.," void open_fds(const char *dir, unsigned char add_all)
 }
 while ((de = readdir(d))) {
 
+if (shm->exit_now == TRUE)
+return;
+
 memset(&buf, 0, sizeof(struct stat));
 snprintf(b, sizeof(b), ""%s/%s"", dir, de->d_name);
 if (ignore_files(de->d_name))
 void open_files()
 */
 while (fds_left_to_create > 0) {
 
+if (shm->exit_now == TRUE)
+return;
+
 /*(void)add_fd(-1, dir1, O_RDONLY, TRUE);
 (void)add_fd(-1, dir2, O_RDWR, TRUE);
 (void)add_fd(-1, dir3, O_RDWR, TRUE);
",193,52
introduce ARG_IOVEC/IOVECLEN," long mkcall(int childno)
 case ARG_RANDPAGE:\
 case ARG_CPU:\
 case ARG_RANDOM_INT:\
+case ARG_IOVEC:\
+case ARG_IOVECLEN:\
 default:\
 if (REG > 8 * 1024)\
 sptr += sprintf(sptr, ""0x%lx"", REG);\
",179,24
"remove the need for ARG_ADDRESS2

Now that the args are in the shm, we can just go hunting for them."," long mkcall(int childno)
 case ARG_UNDEFINED:\
 case ARG_LEN:\
 case ARG_ADDRESS:\
-case ARG_ADDRESS2:\
 case ARG_NON_NULL_ADDRESS:\
 case ARG_RANGE:\
 case ARG_OP:\
",179,24
factor out the watchdog startup and move to watchdog.c," void main_loop()
 if (shm->exit_now == TRUE)
 return;
 
-fflush(stdout);
-pid = fork();
-if (pid == 0)
-watchdog();// Never returns.
+init_watchdog();
 
 /* do an extra fork so that the watchdog and the children don't share a common parent */
 pid = fork();
",246,59
"check for exit status in loop in write sanitise.

Under memory pressure, we can spin here for a while, so explicitly check."," retry:
 newbuffer = malloc(newsize);
 if (newbuffer == NULL) {
 newsize >>= 1;
+if (shm->exit_now == TRUE)
+return;
 goto retry;
 }
 
",33,3
"rework main loop.

Split up the initialisation & the event handling.

Now we also wait for both the main process and the watchdog to exit when we ctrl-c."," int main(int argc, char* argv[])
 /* nothing right now */
 }
 
-main_loop();
+if (shm->exit_now == TRUE)
+goto cleanup_fds;
+
+init_watchdog();
+
+do_main_loop();
 
 printf(""\nRan %ld syscalls (%ld retries). Successes: %ld Failures: %ld\n"",
 shm->execcount - 1, shm->retries, shm->successes, shm->failures);
 
 ret = EXIT_SUCCESS;
 
-
-destroy_maps();
+cleanup_fds:
 
 for (i = 0; i < socks; i++)
 close(shm->socket_fds[i]);
 
+destroy_maps();
+
 if (logging == TRUE)
 close_logfiles();
 
",251,46
"add an exit check to the read sanitise too

For the same reason as sanitise_write"," retry:
 filebuffer = malloc(newsize);
 if (filebuffer == NULL) {
 newsize >>= 1;
+if (shm->exit_now == TRUE)
+return;
 goto retry;
 }
 filebuffersize = newsize;
",41,6
choose correct len for setsockopt based on the option set.,"
 
 #include <stdlib.h>
 #include <sys/socket.h>
+#include <sys/time.h>
+#include ""linux/filter.h""
 #include ""trinity.h""
 #include ""sanitise.h""
 #include ""shm.h""
 void sanitise_setsockopt(int childno)
 shm->a2[childno] = rand() % 256;
 
 shm->a4[childno] = (unsigned long) page_rand;
-shm->a5[childno] = rand() % page_size;
+
+shm->a5[childno] = sizeof(int);// at the minimum, we want an int.
+
+/* Adjust length according to operation set. */
+if (shm->a2[childno] == SOL_SOCKET) {
+switch (shm->a3[childno]) {
+case SO_LINGER:shm->a5[childno] = sizeof(struct linger);
+break;
+case SO_RCVTIMEO:
+case SO_SNDTIMEO:
+shm->a5[childno] = sizeof(struct timeval);
+break;
+case SO_ATTACH_FILTER:
+shm->a5[childno] = sizeof(struct sock_fprog);
+break;
+default:
+break;
+}
+}
 }
 
 struct syscall syscall_setsockopt = {
",59,7
"remove the extrafork code.

it was only ever meant for debugging, and has outlived its usefulness
(and is now broken with the new process model)"," int child_process(void)
 sched_setaffinity(getpid(), sizeof(set), &set);
 output(""bound child %d to cpu %d\n"", pid, cpu);
 }
-if (extrafork == FALSE)
-init_child();
+
+init_child();
 
 sigsetjmp(ret_jump, 1);
 
",145,35
"improve setsockopt sanitise

pass random args for non-SOL_SOCKET.","
 
 void sanitise_setsockopt(int childno)
 {
-if (rand() % 2)
-shm->a2[childno] = SOL_SOCKET;
-else
-shm->a2[childno] = rand() % 256;
-
 shm->a4[childno] = (unsigned long) page_rand;
+shm->a5[childno] = sizeof(int);// at the minimum, we want an int (overridden below)
 
-shm->a5[childno] = sizeof(int);// at the minimum, we want an int.
+if (rand() % 2) {
+shm->a2[childno] = SOL_SOCKET;
 
-/* Adjust length according to operation set. */
-if (shm->a2[childno] == SOL_SOCKET) {
+/* Adjust length according to operation set. */
 switch (shm->a3[childno]) {
 case SO_LINGER:shm->a5[childno] = sizeof(struct linger);
 break;
 void sanitise_setsockopt(int childno)
 default:
 break;
 }
+} else {
+//TODO: Add some specific cases here for IP etc.
+shm->a2[childno] = rand() % 256;/* random protocol. */
+shm->a3[childno] = rand() % 255;/* random operation. */
 }
 }
 
",59,6
remove unnecessary memset," void sanitise_ioctl_sg_io(int childno)
 struct sgio *sgio;
 
 sgio = (struct sgio *) page_rand;
-memset(page_rand, 0, page_size);
 
 sgio->cmd[0] = 0x12;
 sgio->cmd[3] = 0x2;
",45,8
ignore window change signals.," static void mask_signals(void)
 (void)signal(SIGFPE, SIG_IGN);
 (void)signal(SIGXCPU, SIG_IGN);
 (void)signal(SIGTSTP, SIG_IGN);
+(void)signal(SIGWINCH, SIG_IGN);
 if (debug == TRUE)
 (void)signal(SIGSEGV, SIG_DFL);
 }
",252,46
remove long-ago removed option from help text," static void usage(void)
 fprintf(stderr, "" --victims,-V: path to victim files.\n"");
 fprintf(stderr, ""\n"");
 fprintf(stderr, "" -c#: target specific syscall (takes syscall name as parameter).\n"");
-fprintf(stderr, "" -k: pass kernel addresses as arguments.\n"");
 fprintf(stderr, "" -N#: do # syscalls then exit.\n"");
 fprintf(stderr, "" -p: pause after syscall.\n"");
 fprintf(stderr, "" -s#: use # as random seed.\n"");
",149,28
fix case of monochrome short param," void parse_args(int argc, char *argv[])
 { ""help"", no_argument, NULL, 'h' },
 { ""list"", no_argument, NULL, 'L' },
 { ""logging"", required_argument, NULL, 'l' },
-{ ""monochrome"", no_argument, NULL, 'M' },
+{ ""monochrome"", no_argument, NULL, 'm' },
 { ""proto"", required_argument, NULL, 'P' },
 { ""quiet"", no_argument, NULL, 'q' },
 { ""syslog"", no_argument, NULL, 'S' },
",149,28
"2.6.32 compat changes

Another trinity compat patch.","
 #include ""linux/filter.h""
 #include ""trinity.h""
 #include ""sanitise.h""
+#include ""compat.h""
 #include ""shm.h""
 
 void sanitise_setsockopt(int childno)
",60,6
sanitise routine for splice,"
 # define SPLICE_F_MORE 4 /* Expect more data. */
 # define SPLICE_F_GIFT 8 /* Pages passed in are a gift. */
 
+#include <stdlib.h>
 #include ""trinity.h""
 #include ""sanitise.h""
+#include ""shm.h""
+
+void sanitise_splice(int childno)
+{
+if ((rand() % 10) < 3)
+return;
+
+if (rand() % 2) {
+shm->a1[childno] = shm->pipe_fds[rand() % MAX_PIPE_FDS];
+shm->a2[childno] = 0;
+}
+
+if (rand() % 2) {
+shm->a3[childno] = shm->pipe_fds[rand() % MAX_PIPE_FDS];
+shm->a4[childno] = 0;
+}
+}
 
 struct syscall syscall_splice = {
 .name = ""splice"",
 struct syscall syscall_splice = {
 .num = 4,
 .values = { SPLICE_F_MOVE, SPLICE_F_NONBLOCK, SPLICE_F_MORE, SPLICE_F_GIFT },
 },
+.sanitise = sanitise_splice,
 };
",38,4
vmsplice fd MUST be a pipe.,"
 
 static void sanitise_vmsplice(int childno)
 {
+shm->a1[childno] = shm->pipe_fds[rand() % MAX_PIPE_FDS];
 shm->a3[childno] = rand() % UIO_MAXIOV;
 }
 
",29,1
"just in case, occasionally pass a non-pipe fd.","
 
 static void sanitise_vmsplice(int childno)
 {
-shm->a1[childno] = shm->pipe_fds[rand() % MAX_PIPE_FDS];
+if ((rand() % 10) > 0)
+shm->a1[childno] = shm->pipe_fds[rand() % MAX_PIPE_FDS];
 shm->a3[childno] = rand() % UIO_MAXIOV;
 }
 
",30,2
tee only takes pipe fd's too.,"
 # define SPLICE_F_MORE 4 /* Expect more data. */
 # define SPLICE_F_GIFT 8 /* Pages passed in are a gift. */
 
+#include <stdlib.h>
 #include ""trinity.h""
 #include ""sanitise.h""
+#include ""shm.h""
+
+void sanitise_tee(int childno)
+{
+if ((rand() % 10) > 0) {
+shm->a1[childno] = shm->pipe_fds[rand() % MAX_PIPE_FDS];
+shm->a2[childno] = shm->pipe_fds[rand() % MAX_PIPE_FDS];
+}
+}
 
 struct syscall syscall_tee = {
 .name = ""tee"",
 struct syscall syscall_tee = {
 .num = 4,
 .values = { SPLICE_F_MOVE, SPLICE_F_NONBLOCK, SPLICE_F_MORE, SPLICE_F_GIFT },
 },
+.sanitise = sanitise_tee,
 };
",28,2
"improve read/write

- reduce read size to 1M
- increase write size to 1M
- don't try to allocate 0 bytes
- in write, don't free filebuffer if null","
 */
 static void sanitise_read(int childno)
 {
-unsigned long newsize = (unsigned int) shm->a3[childno] & 0xffffffff;
+unsigned long newsize = (unsigned int) shm->a3[childno] & 0xfffff;
 
 if (filebuffer != NULL) {
 if (filebuffersize < newsize) {
 retry:
 filebuffer = malloc(newsize);
 if (filebuffer == NULL) {
 newsize >>= 1;
+if (newsize == 0)// FIXME: Need a better way to indicate ""we're fucked"".
+return;
 if (shm->exit_now == TRUE)
 return;
 goto retry;
 }
 filebuffersize = newsize;
 }
+memset(filebuffer, 0, newsize);
+
 shm->a2[childno] = (unsigned long) filebuffer;
 shm->a3[childno] = newsize;
-memset(filebuffer, 0, newsize);
 }
 
 struct syscall syscall_read = {
",43,7
"pipes is only ever passed to pipe()

so it doesn't need to be so big."," unsigned int fds_left_to_create = MAX_FDS;
 
 static void open_pipes(void)
 {
-int pipes[MAX_PIPE_FDS * 2];
+int pipes[2];
 unsigned int i;
 
 for (i = 0; i < MAX_PIPE_FDS; i+=2) {
",110,20
"switch 'wait for watchdog' to poll instead of sleeping.

It seems there's a corner-case where we get children sleeping here
after the watchdog has left the building.

Until I figure out exactly what's going on, this band-aid should suffice."," void wait_for_watchdog_to_exit(void)
 
 while (shm->watchdog_pid != 0) {
 
-ret = waitpid(shm->watchdog_pid, &status, 0);
+if (shm->watchdog_pid == 0)
+return;
+
+ret = waitpid(shm->watchdog_pid, &status, WNOHANG);
 switch (ret) {
 case 0:
 break;
 case -1:
+shm->watchdog_pid = 0;
 return;
 default:
 if (WIFEXITED(status)) {
 void wait_for_watchdog_to_exit(void)
 }
 break;
 }
-sleep(1);
+sleep(0.1);
 }
 }
 
",136,33
common helper for dumping pid slots," static FILE * find_logfile_handle()
 return shm->logfiles[i];
 else {
 printf(""[%d] ## Couldn't find logfile for pid %d\n"", getpid(), pid);
-printf(""## pids: "");
-for (j = 0; j < shm->nr_childs; j++)
-printf(""%d "", shm->pids[j]);
-printf(""\n"");
+dump_pid_slots();
 printf(""## Logfiles for pids: "");
 for (j = 0; j < shm->nr_childs; j++)
 printf(""%p "", shm->logfiles[j]);
",129,26
don't call reap_child if we can't find the pid slot," static void handle_child(pid_t childpid, int childstatus)
 printf(""[%d] ## Couldn't find pid slot for %d\n"", getpid(), childpid);
 shm->exit_now = TRUE;
 dump_pid_slots();
-
-} else
+} else {
 debugf(""[%d] Child %d exited after %d syscalls.\n"", getpid(), childpid, shm->total_syscalls[slot]);
-reap_child(childpid);
+reap_child(childpid);
+}
 break;
 
 } else if (WIFSIGNALED(childstatus)) {
",248,59
"we know this is ESRCH, so don't bother printing errno in this case."," static void check_children(void)
 /* first things first, does the pid still exist ? */
 if (getpgid(pid) == -1) {
 if (errno == ESRCH) {
-output(""pid %d has disappeared (oom-killed maybe?). (ret=%d:%s) Reaping.\n"", pid, errno, strerror(errno));
+output(""pid %d has disappeared (oom-killed maybe?). Reaping.\n"", pid);
 reap_child(pid);
 } else {
 output(""problem running getpgid on pid %d (%d:%s)\n"", pid, errno, strerror(errno));
",136,33
"improve iovec code.

- always alloc a whole page.
- don't try to allocate zero iovecs"," static struct iovec * alloc_iovec(unsigned int num)
 iov = malloc(num * sizeof(struct iovec));
 if (iov != NULL) {
 for (i = 0; i < num; i++) {
-iov[i].iov_len = rand() % page_size;
-iov[i].iov_base = malloc(iov[i].iov_len);;
+iov[i].iov_base = malloc(page_size);
+iov[i].iov_len = page_size;
 }
 }
 return iov;
 static unsigned long fill_arg(int childno, int call, int argnum)
 return (unsigned long) pathnames[rand() % 50];
 
 case ARG_IOVEC:
-i = rand() % 4;
+i = (rand() % 4) + 1;
 
 switch (argnum) {
 case 1:if (syscalls[call].entry->arg2type == ARG_IOVECLEN)
",492,183
"exit the children first, then the watchdog.

This way, if any children get stuck while exiting, we can kill them."," retry:
 out:
 reenable_coredumps();
 
-output(""child %d waiting for watchdog to exit\n"", getpid());
-wait_for_watchdog_to_exit();
-
 return ret;
 }
",143,35
"if we blocked while reading an fd, don't reuse that fd.

There's lots of room for future improvement here, but this will suffice for now."," static void sighandler(__unused__ int sig)
 {
 switch(sig) {
 case SIGALRM:
+/* if we blocked in read() or similar, we want to avoid doing it again. */
+shm->fd_lifetime = 0;
+
 (void)signal(sig, sighandler);
 siglongjmp(ret_jump, 1);
 break;
",253,46
"Mix in the pidslot into the seed.

I accidentally committed a brainfart that reintroduced the ""every child is exactly the same"" bug.
Do the srand in the child, and make the seed child-unique."," static void fork_children()
 exit(EXIT_FAILURE);
 }
 
-/*
- * consume some randomness. otherwise each child starts
- * with the same random seed, and ends up doing identical syscalls.
- */
-(void) rand();
-
 (void)alarm(0);
 fflush(stdout);
 pid = fork();
 static void fork_children()
 shm->pids[pidslot] = pid;
 else {
 int ret = 0;
+
 memset(childname, 0, sizeof(childname));
 sprintf(childname, ""trinity-child%d"", pidslot);
 prctl(PR_SET_NAME, (unsigned long) &childname);
 
+set_seed(pidslot);
+
 /* Wait for parent to set our pidslot */
 while (shm->pids[pidslot] != getpid());
 
",259,62
"sanitise madvise

Limit it to a single page. Otherwise we segfault when we try to advise
past the end of page_rand or similar.","
 /*
 * SYSCALL_DEFINE3(madvise, unsigned long, start, size_t, len_in, int, behavior)
 */
+#include <stdlib.h>
+#include <sys/mman.h>
+
 #include ""trinity.h""
 #include ""sanitise.h""
 #include ""compat.h""
+#include ""shm.h""
 
-#include <sys/mman.h>
+static void sanitise_madvise(int childno)
+{
+shm->a2[childno] = rand() % page_size;
+}
 
 struct syscall syscall_madvise = {
 .name = ""madvise"",
 .num_args = 3,
 .arg1name = ""start"",
-.arg1type = ARG_ADDRESS,
+.arg1type = ARG_NON_NULL_ADDRESS,
 .arg2name = ""len_in"",
 .arg2type = ARG_LEN,
 .arg3name = ""advice"",
 struct syscall syscall_madvise = {
  MADV_MERGEABLE, MADV_UNMERGEABLE, MADV_HUGEPAGE, MADV_NOHUGEPAGE },
 },
 .group = GROUP_VM,
+.sanitise = sanitise_madvise,
 };
",28,1
"only mmap/munmap a single page.

This stops the segfaults we're seeing from happening
when we try to mmap past the end of page_rand etc.

We can improve this later to use larger sizes for /dev/zero maps etc."," void sanitise_mmap(int childno)
 
 /* page align addr & len */
 shm->a1[childno] &= PAGE_MASK;
-shm->a2[childno] &= PAGE_MASK;
+shm->a2[childno] = page_size;
 if (shm->a2[childno] == 0)
 shm->a2[childno] = page_size;
 
",54,5
return the unmunged address 95% of the time.," static void * _get_address(unsigned char null_allowed)
 break;
 }
 
-i = rand() % 5;
+i = rand() % 100;
 switch (i) {
-case 0:return addr;
-case 1:return addr + (page_size - sizeof(char));
-case 2:return addr + (page_size - sizeof(int));
-case 3:return addr + (page_size - sizeof(long));
-case 4:return addr + (page_size / 2);
+case 0:return addr + (page_size - sizeof(char));
+case 1:return addr + (page_size - sizeof(int));
+case 2:return addr + (page_size - sizeof(long));
+case 3:return addr + (page_size / 2);
+case 4 ... 99:
 default: return addr;
 }
 }
",492,183
TODO: make the kernel addresses per-arch," unsigned long get_interesting_value()
 case 8: return 0x0000800000000000;// First x86-64 non-canonical addr
 case 9: return 0x7fffffff00000000 | low;
 case 10: return 0x8000000000000000 | low;
+// FIXME: Use per-arch #defines for these
 case 11: return 0xffff800000000000 | (low << 4);// x86-64 canonical addr range 2 begin
 case 12: return 0xffff880000000000 | (low << 4);// x86-64 PAGE_OFFSET
 case 13: return 0xffffffff00000000 | low;
",492,183
return interesting numbers for unannotated arguments sometimes.," static unsigned long do_syscall(int childno)
 return ret;
 }
 
+static unsigned long get_reg()
+{
+if ((rand() % 2) == 0)
+return rand64();
+else
+return get_interesting_value();
+}
+
 long mkcall(int childno)
 {
 unsigned long olda1, olda2, olda3, olda4, olda5, olda6;
 long mkcall(int childno)
 if (shm->do32bit == TRUE)
 sptr += sprintf(sptr, ""[32BIT] "");
 
-olda1 = shm->a1[childno] = rand64();
-olda2 = shm->a2[childno] = rand64();
-olda3 = shm->a3[childno] = rand64();
-olda4 = shm->a4[childno] = rand64();
-olda5 = shm->a5[childno] = rand64();
-olda6 = shm->a6[childno] = rand64();
+olda1 = shm->a1[childno] = get_reg();
+olda2 = shm->a2[childno] = get_reg();
+olda3 = shm->a3[childno] = get_reg();
+olda4 = shm->a4[childno] = get_reg();
+olda5 = shm->a5[childno] = get_reg();
+olda6 = shm->a6[childno] = get_reg();
 
 if (call > max_nr_syscalls)
 sptr += sprintf(sptr, ""%u"", call);
",148,19
"ugly workaround for a race.

The pidmap really needs proper locking. I'll do it later."," static FILE * find_logfile_handle()
 if (i != -1)
 return shm->logfiles[i];
 else {
+/* try one more time. FIXME: This is awful. */
+printf(""[%d] ## Couldn't find logfile for pid %d. Retrying.\n"", getpid(), pid);
+sleep(1);
+i = find_pid_slot(pid);
+if (i != 1)
+return shm->logfiles[i];
+
 printf(""[%d] ## Couldn't find logfile for pid %d\n"", getpid(), pid);
 dump_pid_slots();
 printf(""## Logfiles for pids: "");
",134,27
output the reason for exiting.," int child_process(void)
 }
 
 if (count_enabled_syscalls() == 0) {
-output(""[%d] No more syscalls enabled. Exiting\n"");
+output(""[%d] No more syscalls enabled. Exiting\n"", getpid());
 shm->exit_now = TRUE;
 }
 
 retry:
 shm->syscallno[childno] = syscallnr;
 
 if (syscallcount) {
-if (shm->execcount >= syscallcount)
+if (shm->execcount >= syscallcount) {
+output(""[%d] shm->execcount (%d) >= syscallcount (%d)\n"", getpid(), shm->execcount,syscallcount);
 shm->exit_now = TRUE;
+}
+
 if (shm->execcount == syscallcount)
 printf(""[%d] Reached maximum syscall count %ld\n"", pid, shm->execcount);
 }
",145,35
"Make the mmap flag selection truly random.

Instead of just 0-N.","
 #include ""arch.h""
 #include ""compat.h""
 
+#define NUM_FLAGS 12
+
 void sanitise_mmap(int childno)
 {
 unsigned int i;
-unsigned int flagvals[12] = { MAP_FIXED, MAP_ANONYMOUS,
+unsigned int flagvals[NUM_FLAGS] = { MAP_FIXED, MAP_ANONYMOUS,
  MAP_GROWSDOWN, MAP_DENYWRITE, MAP_EXECUTABLE, MAP_LOCKED,
  MAP_NORESERVE, MAP_POPULATE, MAP_NONBLOCK, MAP_STACK,
  MAP_HUGETLB, MAP_UNINITIALIZED };
-unsigned int numflags = rand() % 12;
+unsigned int numflags = rand() % NUM_FLAGS;
 
 /* page align addr & len */
 shm->a1[childno] &= PAGE_MASK;
 void sanitise_mmap(int childno)
 
 // set additional flags
 for (i = 0; i < numflags; i++)
-shm->a4[childno] |= flagvals[i];
+shm->a4[childno] |= flagvals[rand() % NUM_FLAGS];
 
 /* no fd if anonymous mapping. */
 if (shm->a4[childno] & MAP_ANONYMOUS)
",54,5
"Don't set a mmap address.

This causes segfaults right now"," void sanitise_mmap(int childno)
  MAP_HUGETLB, MAP_UNINITIALIZED };
 unsigned int numflags = rand() % NUM_FLAGS;
 
-/* page align addr & len */
-shm->a1[childno] &= PAGE_MASK;
+/* Don't actually set a hint right now, in case we give out
+ something that we don't want changed. One day, we'll recycle
+ mappings from mmap results and the like here instead.
+ Right now, ARG_ADDRESS is a bad choice, as it causes page_rand()
+ to be remapped as unwritable/unreadable, and then we segfault */
+shm->a1[childno] = 0;
+
 shm->a2[childno] = page_size;
 if (shm->a2[childno] == 0)
 shm->a2[childno] = page_size;
",54,5
remove open coded ARG_NON_NULL_ADDRESS implementation,"
 
 void sanitise_munmap(int childno)
 {
-retry:
-if (shm->a1[childno] == 0) {
-shm->a1[childno] = (unsigned long) get_address();
-goto retry;
-}
-
 shm->a2[childno] = page_size;
 }
 
 struct syscall syscall_munmap = {
 .name = ""munmap"",
 .num_args = 2,
 .arg1name = ""addr"",
-.arg1type = ARG_ADDRESS,
+.arg1type = ARG_NON_NULL_ADDRESS,
 .arg2name = ""len"",
 .arg2type = ARG_LEN,
 .group = GROUP_VM,
",17,1
disable munmap for now," args_done:
 #endif
 ret = do_syscall(childno);
 
+
+page_rand[0] = rand();
+
+
 sptr = string;
 
 if (ret < 0) {
",150,19
remove some debug code that accidentally got committed.," args_done:
 #endif
 ret = do_syscall(childno);
 
-
-page_rand[0] = rand();
-
-
 sptr = string;
 
 if (ret < 0) {
",149,19
