,Function,Original Comment,Predicted comment
168,public void securityuser value this value ,sets the value of the property param value allowed object is link securityuser , sets the value of the value property param value allowed object is link string
169,final private void byte new byte packedboardbytesize for int i 0 0 i i system arraycopy treedata arraypointers i packedboardbytesize packedboardbytesize packedboardbytesize treedata arraypointers null ,transforms the tree to a binary heap this method destroys the tree that means only the binary heap can be used after this method has been called , set the current buffer of the current buffer
170,public void writepositionscore printwriter out int 1 for int i 0 i sortedpositions length i if sortedpositions i position out println sortedpositions i position 1 t0 sortedpositions i position ,writes native format to the printwriter 1 based skips , sets the byte stream to use for the buffer header param buffer the buffer to add
171,private boolean skipbrackets if ftoken symbols tokenrbracket nexttoken if ftoken symbols tokenlbracket return true return false ,skips brackets if the current token is a there can be nothing but whitespace in between this is only to be used for code code elements return code true code if a code code could be scanned the current token is left at the , check if the next table is a valid range
172,protected void processmsg message msg throws throwable object msg getobject if instanceof invocationresponse synchronized rsplock rsp invocationresponse todo concurrent access rsplock notify possible issues if null system out println obj is getclass are msg else system out println are msg ,the template method , called by the method exception param exception the exception
173,public void short integerincrement this integerincrement integerincrement ,sets the integerincrement param integerincrement the integerincrement to set , sets the value of the checkoutdata property param value allowed object is link string
174,public void setrngseed long seed ,sets the random number seed for this model and a uniform distribution with that seed , missing method documentation param i missing method parameter documentation
175,public void stopediting pilotdbrecord record int fieldindex throws exception ,update the record , update the record
176,protected void pointer 3 ,set the pointer to the of the data after the length , set the initial state of the current gui
177,public threadfactory return threadfactory ,returns the thread factory used to create new threads return the current thread factory see , returns the current level of the current user
178,private user gettarget final user user set of basicproject to return set project new hashset project for project basicproject user getprojects get the basicproject target of the proxy add basicprojectproxyutil gettarget basicproject user setprojects return user ,remove proxy and get the target param user return , checks if the user has a filter and then it makes a filter if it is not a user param user the user to be checked return a null if the user has been deleted or null if it has not been deleted
179,public int int row integer if this singlerowmap 0 if this rowmap null integer this links get new integer this dataset getkeyat row else integer this links get new integer this dataset getkeyat integer rowmap get row intvalue else integer this links get new integer this dataset getkeyat singlerowmap if null return 0 else return intvalue ,returns the link status for a specified row this is used for the result view only and the status is interpreted binary 00 not used link removed from list 01 linked to marked requirement only 10 linked to another requirement only 11 linked to both another and the marked requirements param row a row in the table model return the link status , missing method documentation param row missing method parameter documentation return missing return method documentation
180,public void int index try dataout add new dataoutputstream sockets get index getoutputstream datain add new datainputstream sockets get index getinputstream end try catch ioexception e system out println problem creating data streams system out println add code to properly close stuff here system out println e end catch end int ,attaches data streams to a socket param index index into the arraylist for where the data streams go , inserts the specified object at the specified position in this vector shifts the current position of the specified object less than the specified position at the specified index is less than the specified position is less than equal to the specified code index code the value is less than equal to the current position param obj the object to be added to the
181,public void int indexpackingsequence this indexpackingsequence indexpackingsequence ,sets the index in the packing sequence that has been reached param the index in the packing sequence , sets the index of the first column the current is the right is left from the current index of the current index of the next data param index the index of the new data
182,public pcontroller double kp this kp kp ,constructor for pcontroller param kp the proportional constant , constructor for kp param kp the proportional constant param kd the integral constant
183,public void setcursorname string name throws sqlexception checkstatus cursorname name ,defines the sql cursor name that will be used by subsequent statement execute methods this name can then be used in sql positioned update delete statements to identify the current row in the resultset generated by this statement if the database doesn't support positioned update delete this method is a noop p b note b by definition positioned update delete execution must be done by a different statement than the one which generated the resultset being used for positioning also cursor names must be unique within a connection param name the new cursor name , saves the given string to the database param string string containing the parameters to be removed
184,public boolean isplaymodeactivated return gamemode gamemode play ,returns whether the game is in play mode just now return code true code if the game is in play mode , returns true if the real number is valid
185,public void fatal string message string msg fatal message n if this getlevel logger fatal output append msg this logbuffer append msg ,for critical messages after logging of which the application quits , sets the error message of the application
186,public boolean return ,returns the return boolean , returns true if the last row is empty
187,public void int placement switch placement case left case right case above case below case center this placement placement break default throw new illegalargumentexception must be left right above below or center ,places this label relative to the labeled glyph param placement left right above below or center , set the current image of the image area param g the new image value
188,public void try new parameterchanger null fail should raise an illegalargumentexception catch illegalargumentexception success ,test method for 'org simbio sim dm parameterchanger inputstream ' argument 'randinput' is null , test the query operation not generated
189,protected htweek getcolumnweek int columnindex return weekheader instance getcolumnweek columnindex ,missing method documentation param columnindex missing method parameter documentation return missing return method documentation , missing method documentation return missing return method documentation
190,public void byte state try sendheader player msgtype req 2 2 bytes payload os writebyte player position3d position mode req os writebyte state os flush catch exception e system err println position3d couldn't send player position3d position mode req command e tostring ,configuration request change position control br br param state 0 for velocity mode 1 for position mode , configuration request get player br br br the player of the player can be queried using the player audiodsp set config request and modified using the player audiodsp set config request br br the sample format is defined in sys soundcard h and defines the byte size and endian format for the sample br br the sample rate defines the hertz at which to the sample and the player rate at its state param state 0
191,private void arraylist file filelist file folder pamfilefilter filter file folder listfiles filter if null return for int i 0 i length i if i isfile filelist add i else if i isdirectory filelist i getabsolutefile filter ,list all data files get's called recursively param current list get's added to param folder folder to search param filter file filter , open a file file with the given file param name the file name to be loaded param throws if the file is not valid or false
192,public string getrunresult return ,get the result string of the connection return run result , returns the name of the module
193,public void setstatus status status this status status ,sets the status attribute of the catalog object param status the new status value of class , sets the status of the flag to the current status p this implementation will be if code true code if code true code is code true code if code true code and code true code if the current selection is code true code see if the current status is set
194,public undoableedit execute the mask so that the undo to the state of the at this point int current ch int set current mask current mask ch setintcharacteristics set return new name ch set ,performs the edit defined by this command and returns an undoableedit which can be used to undo this command return an undoableedit whcih can be used to undo the effects of this command , get the ui of the screen
195,public object eval namespace namespace string command try return eval namespace command catch throwable e log error e e return null eval method ,evaluates the specified beanshell expression errors are reported in a dialog box param namespace the namespace param command the expression return description of the return value since jedit 4 , this will return the code string code of the code attribute code param name the name of the attribute to be returned return code string code of the attribute throws jdomexception if an error occurs
196,public void accept visitor v v this ,called by objects that are traversing the nodes of the tree implicitely defined by the contents of a java class i e the hierarchy of methods fields attributes etc spawns a tree of objects param v visitor object , call corresponding visitor method s the order is call visitor methods of implemented interfaces first then call methods according to the class hierarchy in descending order i e the most specific visitxxx call comes last param v visitor object
197,protected void addincomingpropertydescriptor object object itempropertydescriptors add createitempropertydescriptor composeableadapterfactory adapterfactory getrootadapterfactory getresourcelocator getstring ui vertex incoming feature non nls 1 getstring ui propertydescriptor description ui vertex incoming feature ui vertex type non nls 1 non nls 2 non nls 3 umlpackage literals vertex incoming true null null null ,this adds a property descriptor for the incoming feature begin user doc user doc generated , this adds a property descriptor for the is feature begin user doc
198,public return new ,create an instance of link , create an instance of link org an util path
199,public void boolean this ,sets the param the to set , sets whether the element is to be used by default value if the flag is true then the default value is true if the current value is code false code then the default is code true code if the current button is not found the default is code true code if the current setting is not set the current value will be set to this set
200,private void sortingcolumns clear sortingstatuschanged ,todo missing method documentation , todo missing method documentation
201,public void handleresponse playermsghdr header switch header getsubtype case player wsn req power null response break case player wsn req datatype null response break case player wsn req datafreq null response break default if isdebugging logger log level finest wsn debug unexpected response header getsubtype of size header getsize break ,handle acknowledgement response messages param header player message header , handle acknowledgement response messages param header player header
202,public void jdialog overviewdialog this overviewdialog overviewdialog ,sets the overviewdialog param overviewdialog the overviewdialog to set , sets the current panel to be used for drawing the dial knob return the code link code to set
203,public numberrange getnumberrange return numberrange ,gets the range that the input is checked against return current number range , gets the maximum number of characters return the number of characters
204,public void setmultithreaded boolean flag if flag todo nyi throw new jdounsupportedoptionexception multithreading not supported yet multithreaded flag ,set the default multi threaded setting for all code persistencemanager code instances obtained from this factory param flag the default multi threaded setting , set the default setting setting for all code persistencemanager code instances obtained from this factory param flag the default setting setting
205,public void servicecontext servicecontext addservicecontext servicecontext ,add replace the service context to the request service contexts are not ordered in any way param servicecontext , sets the result of the project this result will contain all objects that are not been removed from the list this is only used for objects that are not added this node will be null
206,protected template string log debuglevel debuglevel debug templates log template creating template template new template try template parse log debuglevel debuglevel debug templates log parsed catch exception e log debuglevel debuglevel debug templates log failed ie system err println templates e return template ,creates new object , this method is used to get the filename that contains the filename
207,public string return xmldbelementname ,returns the xmldbelementname return string , gets the name of the identifier return the identifier
208,public void removelistener symbollistener evtlistener if evtlistener null throw new illegalargumentexception argument was null no listeners at all if typemap null typemap size 0 return collection lists typemap values for iterator it lists iterator it hasnext list currentlist arraylist it next currentlist remove evtlistener ,removes code evtlistener code from all listener lists nothing happens if code evtlistener code is currently not a listener param evtlistener the code symbollistener code to be removed throws illegalargumentexception code if evtlistener null code , removes all listeners from the list param listener the list of the selected to remove
209,public long subtract long amount synchronized lock return value amount ,subtract amount from value i e set value amount return the new value , return the value of the pixel property return value
210,public string getnodename return messageservice gettextmessage sqlstate rts row rs ,format for display a name for this node , format for display a name for this node
211,protected void selectionkey akey int akey akey ,remove the specified op from the interest ops that this key is monitoring because we have sent all the data we have available at the moment if any more data becomes available then it will re register the write interest ops param , sets the current number of the page index param index the new value
212,private int max locals return repository lookupclass myowner getclassname getmethods method no getcode ,utility method to return the max value of the method verified by the surrounding instance , returns the number of the passed in the passed array this method is the smallest number that is not the same as the number of the line this method is the number of this gridrectangle as the number of the passed line is considered to be returned by the number of the passed number of this gridrectangle return the number of this gridrectangle
213,public void accept visitor v v visittypedinstruction this v visitstackproducer this v visitstackconsumer this v visitarithmeticinstruction this v visitineg this ,call corresponding visitor method s the order is call visitor methods of implemented interfaces first then call methods according to the class hierarchy in descending order i e the most specific visitxxx call comes last param v visitor object , call corresponding visitor method s the order is call visitor methods of implemented interfaces first then call methods according to the class hierarchy in descending order i e the most specific visitxxx call comes last param v visitor object
214,public string return serverip ,get the value of serverip return the value of serverip , gets the value of the property return possible object is link string
215,public string gettext object object string label parameterset object getname return label null label length 0 getstring ui parameterset type non nls 1 getstring ui parameterset type label non nls 1 non nls 2 ,this returns the label text for the adapted class begin user doc user doc generated , this returns the label text for the adapted class begin user doc
216,public string parse byte b logger debug entering parse bytearrayinputstream is new bytearrayinputstream b try p new is p parse pd p ts new string str ts gettext pd pd close return str catch exception ex logger error error parsing file ex return ,returns a string that contains the text found in a pdf file represented by the passed in byte array returns if parsing is unsuccessful param b byte return string , parses the given directory with the specified name param name the byte byte to format return the absolute path throws illegalargumentexception if the specified file is not found
217,public void boolean value short hostname value ,sets the hostname style attribute of the nagiosappender object return the value indicating the style of hostname long short , sets the value of the pos property param value allowed object is link pos
218,public void int ,the owning statemanager uses this method to ask the instance to replace the value of the single field identified by number param the field whose value is to be replaced by a callback to the statemanager's replacingxxxfield method , missing method documentation
219,public integer getsnr return this snr ,gets the signal to noise ratio for this satellite the higher the number the better return signal to noise ratio , gets the type of this code jscdata code object return code jsctypes
220,public void int strategy strategy ,set the strategy when window is resized resize font is default param strategy the strategy see resize none see resize font see resize screen , sets the maximum number of threads to be displayed in the current selection param obj the new component to set
221,public list throws accessexception logger debug entering string query select pid from item list list buildresult query return list ,returns all itempids return list of hashmaps containing set pid value , return the current collection of the current user return the current path of the current item
222,public catchaction copythis return new catchaction this ,returns a copy of this author edgar acosta since 0 4 , create an instance of link pos
223,public void statechanged changeevent ce assume this is an ok cast is there a language number that isn't comparable comparable mastervalue comparable masterspinner getnumber slavespinner setmaximum mastervalue if manip if mastervalue compareto slavespinner getnumber 0 slavespinner setvalue masterspinner getnumber ,responds to the 'master' spinnernumbermodel being changed and sets the maximum value of the 'slave' spinnernumbermodel see javax swing event changelistener statechanged javax swing event changeevent , called when a mouse button is pressed see javax swing event event
224,public void string this ,this method may be used to override automatically detected param , sets the name of the module
225,public string getnodename return messageservice gettextmessage sqlstate rts insert vti ,format for display a name for this node , format for display a name for this node
226,public void setsymbolscope scope scope if scope null throw new illegalargumentexception argument was null symbolscope scope updatesymbol ,sets the symbol scope param scope throws illegalargumentexception code if scope null code , sets the symbol table to use for the table param table the table to set throws illegalargumentexception code if scope null code
227,public void integer value this skip value ,sets the value of the skip property param value allowed object is link string , sets the value of the todo param value the value of the value
228,public void destroy super destroy clearwidget viewbox listeners clear ,adds to method in neowidget destroying references to stuff to facilitate gc'ing , call this method to perform all own memory
229,public r getresult return result ,gets the result of the task execution return code r code instance providing the result of the task execution , returns the current instance of the wizard return the code boolean code that is currently registered
230,public int getrowcount return this dataset length ,returns the number of rows available in the table model return number of rows , returns the column number of the column
231,public list getallusers throws accessexception logger debug getallusers entering list returnlist this dbaccess getallusers logger debug getallusers exiting return value returnlist return returnlist ,gets all users from dbaccess throws accessexception return list , gets the current user object return the user throws accessexception
232,public void initnames localinitialize true new locale string if combobox getitemcount 12 combobox removeallitems for int i 0 i 12 i combobox additem i localinitialize false combobox setselectedindex month ,initializes the locale specific month names , set the value of owner param owner new value of owner
233,public void addlistener genericlistener l listenerlist add l ,registers the specified code genericlistener code to be notified when all tasks in the list are done param l the code genericlistener code to register , adds a listener to the list param listener the listener to be removed
234,public void connect string host int port try log fine connecting to host port connection new socket host port log finer got socket s connect host port outputstream connection getoutputstream new printwriter in new bufferedreader new inputstreamreader connection getinputstream log finer got streams log info connected to host port thread new thread this thread start catch exception e log log level severe error while connecting to asterisk e ,connects to the system by tcp ip but does not log in , add a new port to the list of the passed application param n the new port for the port
235,private void teams removeallitems for iterator iter menu teams iterator iter hasnext team element team iter next teams additem element teams setenabled true deletebutton setenabled true if teams getitemcount 0 teams setenabled false deletebutton setenabled false ,methods that fill the combo with the favourite teams , this method initializes group
236,public void throws coreexception description getproject getdescription commands description for int i 0 i commands length i if commands i equals ocl4javabuilder builder id new commands length 1 system arraycopy commands 0 0 i system arraycopy commands i 1 i commands length i 1 description return ,remove the builder from the project , this is the subject to the code persistencemanager code see javax jdo transaction
237,public void fputf object o head new logolink o head ,puts a link at the front of the list param o object , remove a query at the
238,public string getcatalog throws java sql sqlexception if driver trace object args new object 0 debug methodcall this getcatalog args debug returnvalue this getcatalog this database return this database ,return the connections current catalog name or null if no catalog name is set or we dont support catalogs p b note b mysql's notion of catalogs are individual databases return the current catalog name or null exception java sql sqlexception if a database access error occurs , what's the database vendor's preferred term for catalog return the vendor term throws java sql sqlexception if a database access error occurs
239,public list getpropertydescriptors object object if itempropertydescriptors null super getpropertydescriptors object addsymbolpropertydescriptor object addoperandpropertydescriptor object return itempropertydescriptors ,this returns the property descriptors for the adapted class begin user doc user doc generated , this returns the property descriptors for the adapted class begin user doc
240,public string executexml throws jgderror execute bytearrayoutputstream o new bytearrayoutputstream this o return new string o tobytearray ,execute the query returns xml result return result of google desktop search in xml throws a error in search has , run the string with a single string representation of the queue return the string representation of the document
241,public string getschematerm return schema ,what's the database vendor's preferred term for schema return the vendor term , returns the name of the last character in the current namespace return the name of the code tag code
242,public void boolean b if b if null if objtrans addchild else if null detach b ,sets the view faces param b the new view faces , enables disables the selection of a visible button in the list of this visible b b b b b b b b b b b b b b b b b b b code b b code b b b b b code b b b code b b b code b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b
243,public void actionperformed actionevent arg0 spinnernumbermodel null jcombobox league jcombobox arg0 getsource item league getselecteditem totw setseason item getseason totw item getligaid totw setweek 1 if totw getmodel getseason totw getseason new spinnernumbermodel 1 1 totw 1 else new spinnernumbermodel 1 1 14 1 setmodel totw forcerefresh true ,todo missing method documentation param arg0 todo missing method parameter documentation , updates the ui of the ui param evt the event
244,public void setdata vector v if v instanceof sortedvector data v else data clear for int i 0 i v size i data add v get i firetabledatachanged ,sets the data to be displayed in the table param v the data to be displayed in the table , sets the parent of the code visualobject code that is to be displayed in this node's parent or code null code if the parent is code null code see the parent
245,public object string key return defaultnames get key ,returns the object for the key or null , returns the key property param props the property to be stored in the given attribute
246,public void map visualobject affinetransform positions apply the positions possibly using an for visualobject obj getobjects affinetransform position positions get obj vvdisplay vvdisplay obj getdisplay if vvdisplay null taskmanager taskmanager vvdisplay gettaskmanager if taskmanager null if isanimationenabled vvdisplay gettaskmanager addtask new obj position gettranslatex position gettranslatey 2000 continue this is the default behavior if cannot be obj settransform position ,causes this code arranger code to transform all of its arranged code visualobject code s so that they are in a way appropriate to the purpose of this implementation if animations are enabled the transformation will be a effect , sets the current view of the specified object param view the new view for the new value
247,public void setweekdayforeground color weekdayforeground daychooser setweekdayforeground weekdayforeground ,sets the weekday foreground param weekdayforeground the weekdayforeground to set , sets the color of the foreground param color the new color
248,public void setdate date date this date new timestamp date gettime calendar htcalendarfactory createeconomycalendar commons getmodel date ,missing method documentation param date missing method parameter documentation , sets the date date of the date date fires a date date param date the date date
249,public dataisland return dataisland ,retrieves the data island object that is able to generate the desired document return the data object , returns the code string code of this code object code return the code string code used to this object
250,private void final reentrantlock lock this lock lock lock try next next null first next next nextitem next null null next item finally lock unlock ,advances next or if not yet initialized sets to first node , this method is called when the next call has been set to the next call it will be called by the current thread
251,public versionpersistence getowner return owner ,returns the value of owner return the owner value hibernate many to one column owner id class net cw jcart persistence item versionpersistence not null true cascade none update none , returns the owner return owner
252,public string getdescription stringbuffer sb new stringbuffer sb append player getname sb append sb append player getspielerid return sb tostring ,missing method documentation return missing return method documentation , insert a list of instruction returns the list of the queue contained in the list of this deque param o the string to insert return the added string
253,public void operate population population selector selector this population population for int i 0 i i arraylist individual selector select if es dis utils randomnumbers nextdouble do operation else do fail ,run the operator param population population on which operator and selector works param selector selector to be used in this operation , set the current thread to be used in the hand
254,public int string filename throws ioexception pressedexception return filename null ,send the given file without interrupt p the file must exist in the asterisk directory usually var lib asterisk remember the file extension must not be included in the filename param filename the file to play return 0 if playback completes without a digit being pressed or 1 on error or if the channel was disconnected throws ioexception if the connection is lost , return the file name of the data file this is the file name return the file name of the file
255,public void deleteitem long itemid throws dataaccessexception this getitem itemid ,deletes a item from the system the mapped attribute values are deleted but not the attribute instances param itemid description of the parameter exception dataaccessexception description of the exception , sets the status of the page param port the new port
256,private void valueofint instruction o type value if value equals type int constraintviolated o the is not of type int but of type value ,assures value is of type int , adds a new value of the specified object with the specified value
257,public string return ruleset ,returns the ruleset return string , gets the value of the property return possible object is link string
258,public string tostring stringbuffer sb new stringbuffer temperature sb append value sb append temperature return sb tostring ,get the xml representation of the element return java lang string the xml representation of the element , get the xml representation of the element return java lang string the xml representation of the element
259,public set return context keyset ,returns all the available context property keys return a set of the property keys , returns the port of the port
260,public void visitstackconsumer o visitstackaccessor instruction o ,ensures the general preconditions of a stackconsumer instance , checks if the constraints of operands of the said instruction s are satisfied
261,protected transferable createtransferable jcomponent if getparent instanceof else if getparent instanceof new addelement return new ,third method called during drag and drop creates object containing the selected icons on our desktop return object containing selected icons on desktop , this method initializes return javax swing jpanel
262,public double int row int col if getrowcount 0 getcolumncount 0 return dataarray row col doublevalue return double nan ,gets underlying observation for a given row and column as a code double code value return the observation as double , missing method documentation param row missing method parameter documentation return missing return method documentation
263,public byte gettextcontentasbyte string name try return byte parsebyte gettextcontent name catch numberformatexception e throw new xmlexception e getmessage ,retrieves the text content of the first node with a given tag name param name the name of the tag to match return the text content as a code byte code see org w3c dom node gettextcontent , retrieves the text content of the first node with a given tag name param name the name of the tag to match return the text content as a code byte code see org w3c dom node gettextcontent
264,public void visitgetstatic getstatic o field must be static see pass 3a ,ensures the specific preconditions of the said instruction , ensures the specific preconditions of the said instruction
265,protected void addinstructurednodepropertydescriptor object object itempropertydescriptors add createitempropertydescriptor composeableadapterfactory adapterfactory getrootadapterfactory getresourcelocator getstring ui activitynode feature non nls 1 getstring ui propertydescriptor description ui activitynode feature ui activitynode type non nls 1 non nls 2 non nls 3 umlpackage literals activity node in structured node true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the in structured node feature begin user doc user doc generated , this adds a property descriptor for the is remove feature begin user doc
266,public jsctypes type return jsctypes void ,gets the type of this code jscdata code object return code jsctypes void code , gets the type of this code jscdata code object return code jsctypes type code
267,public string return ,returns the identifier for the uketd schema location return , gets the name of the column property return possible object is link string
268,public int return this ,returns the sub period format for the double representation of this date this number as a place holder for the digits of the sub period if code subperiodicity lt 10 code this number returns 10 if code 10 lt subperiodicity lt 100 code this number returns 100 and so on if one multiplies the double coded date with the sub period format one always gets a value that is equal to an integer because the decimal digits return the sub period format , gets the maximum number of columns in the model return the number of columns
269,private void tridasobjectex obj view view add obj view bysitecode put obj obj if obj haschildren for tridasobjectex child obj getobjects tridasobjectex class child view ,recursively add all objects to the list deals with the object tree being n deep param obj param view , this method is called when the object is set to the object param obj the object to be added to the object throws java lang exception
270,public void pamviewinterface view for int i 0 i pamviewlist size i view pamviewlist get i if view getframenumber 0 pamgui view getguiparameters ,goes through all open frames before they closing and gets their parameters into the structure which will be written to the psf file , clears the data data
271,public int getrowcount return model null 0 model getrowcount ,implements tablemodel by forwarding the message return number of rows , gets the number of rows in the table return number of rows
272,public audiodspinterface playerclient pc short indexofdevice super pc device player audiodsp code index indexofdevice ,constructor for param pc a reference to the playerclient object param indexofdevice the index of the device , constructor for constructor param pc a reference to the playerclient object param indexofdevice the index of the device
273,public void checkcommit throws sqlexception if currentxid null throw util generatecssqlexception sqlstate cannot commit xa super checkcommit ,allow control over calling commit , call held to allow a connection to allow the database
274,public void setlocation tridaslocation value this location value ,sets the value of the location property param value allowed object is link tridaslocation , sets the value of the owner property param value allowed object is link string
275,public file return preferencesfile ,returns the preferencesfile return file , returns the current name of the current character return the current value of the current file
276,public void string this jdbcdriver ,set the jdbcdriver value param the new jdbcdriver value , sets the value of the page property param value allowed object is link string
277,public int size return maptolist size ,returns the number of lists contained by this maptolist note this method counts the number of lists this maptolist contains it does not determine whether all lists defined for all keys are empty therefore it is possible that this maptolist contains one or more keys and all of the lists associated with those keys are empty yet this method will return a non zero value return the number of lists contained by this maptolist , returns the number of elements in this set return the number of elements in this set
278,public string gethand return m hand ,the actual hand for example or ac ad there is no restriction on how the hand is represented here return the actual hand for example or ac ad , todo missing method documentation return todo missing return method documentation
279,public void refdelete if getpathname null getpathname refdelete if superclassproxy0 null superclassproxy0 refdelete super refdelete ,removes all references to this object and calls superclass proxies to do the same , removes all references to this object and calls superclass proxies to do the same
280,public sonarinterface playerclient pc short indexofdevice super pc device player sonar code index indexofdevice ,constructor for param pc a reference to the playerclient object param indexofdevice the index of the device , constructor for constructor param pc a reference to the playerclient object param indexofdevice the index of the device
281,public void clear minx integer max value maxx integer min value miny integer max value maxy integer min value ,set the collected values back to the initial values indicating an empty range , sets the value of the height property param value allowed object is link bigdecimal
282,public void send string viewid string subject object from list to if to size 0 add subject subject add from from add to to render viewid else log warn no email addresses for subject subject ,setup context and send , prints the current text in the list of the passed attribute param s the string to write
283,public int getemailpartcount return parts size ,getter for e mail parts count return e mail count , returns the number of elements in the list return int
284,public collection getchildrenfeatures object object if childrenfeatures null super getchildrenfeatures object childrenfeatures add umlpackage literals link action end data childrenfeatures add umlpackage literals link action input value return childrenfeatures ,this specifies how to implement link getchildren and is used to deduce an appropriate feature for an link org eclipse emf edit command addcommand link org eclipse emf edit command removecommand or link org eclipse emf edit command movecommand in link createcommand begin user doc user doc generated , this specifies how to implement link getchildren and is used to deduce an appropriate feature for an link org eclipse emf edit command addcommand link org eclipse emf edit command removecommand or link org eclipse emf edit command movecommand in link createcommand begin user doc
285,public void boolean coeffmatrequired ,sets whether a coefficients matrix is required to display this equation term it might be code false code to just display variable names for example for the param code true code if coefficients are required , sets the current flag to be shown in the editor param value the new value of the flag
286,protected boolean is final string exp if stringutils isempty exp return true else return instance createvalueexpression format exp boolean class getvalue ,evaluate boolean expression , check if the given level is available return true if the given value is valid false otherwise
287,private long length int field if isopen return long max value long milliseconds getend getcalendar gettimeinmillis getstart getcalendar gettimeinmillis if field calendar millisecond return milliseconds long seconds milliseconds 1000 if field calendar second return seconds long minutes seconds 60 if field calendar minute return minutes long hours minutes 60 if field calendar hour return hours throw new illegalargumentexception ,calculate length in milliseconds seconds minutes or hours based in the field parameter param field one of calendar millisecond calendar second calendar minute or calendar hour return the length long max value is returned if this is an open range , returns the length of the last character in the sequence
288,protected void object object itempropertydescriptors add createitempropertydescriptor composeableadapterfactory adapterfactory getrootadapterfactory getresourcelocator getstring ui property feature non nls 1 getstring ui propertydescriptor description ui property feature ui property type non nls 1 non nls 2 non nls 3 umlpackage literals property is derived union true itempropertydescriptor boolean value image null null ,this adds a property descriptor for the is derived union feature begin user doc user doc generated , this adds a property descriptor for the is feature begin user doc
289,public float getmean string item if item null throw new illegalargumentexception null value given to sensoryitemdistribution function integer count m count get item if count null m 0 return 0 return float count float m ,after a casebase has been processed this method will return the average occurrences of a given sensory item type in a case param item the name of the sensory item return the average number of occurrences author michael w floyd since 0 5 , get the type of the given item type
290,public return ,returns the value of return the item manager value , returns the current value of the current class
291,public int int enhancement if enhancement 0 return 0 if enhancement 1 return 1 return enhancement 1 ,masterwork items add a 1 attack bonus 1 and above enhancements add their value to both damage and attack , returns the current size of the current item in the current map this method assumes the coordinates of the first size of the map is not transferred to the method calling this method return the number of this gridline
292,public boolean isdataready if false return true return false ,check if data is available return true if ready false if not ready , is the odbc extended sql grammar supported return true if so
293,public long roundup long time long r time 1000 if r 0 return time return time r 1000 ,round a time down up nearest second param time return time rounded down to nearest second , get the number of available in the shape return the number of threads
294,public boolean isaddedcell object cell for int counter cells length 1 counter 0 counter if cells counter equals cell return arenew counter throw new illegalargumentexception cell is not a cell identified by the graphselectionevent ,returns true if the cell identified by cell was added to the selection a return value of false means the cell was in the selection but is no longer in the selection this will raise if cell is not one of the cells identified by this event , returns true if the cell is in the graph
295,public getitem int index may not work item null try item this headerindex get index catch java lang arrayindexoutofboundsexception e item null return item ,retrieve an item from the header list at a given position param index the position of the item to remove return the at the given position , returns the index of the last character in the sequence
